name,tailpipe_co2
Volvo XC40 Recharge Hatch (2022-2023),0
Mercedes-Benz EQB EQB 250  Wagon Auto (2022-2025),0
Mercedes-Benz EQA Class EQA350 4MATIC Wagon Auto (2022-2025),0
Tesla Model 3 StandardRange (E6LRB) Sedan (2022-2025),0
Tesla Model 3 LongRange (E5LDB) Sedan (2022-2025),0
Tesla Model 3 Performance (E5LDP) Sedan (2022-2025),0
Mercedes-Benz EQC Class EQC400 4M Elec. Art Line Wagon Auto (2022-2025),0
Mercedes-Benz EQC Class EQC400 4MATIC Sport Wagon Auto (2022-2025),0
BMW iX M60 Wagon Auto (2022-2025),0
Tesla Model 3 RWD (E6LRB) Sedan (2022-2025),0
Polestar 2 170KW SUV (2022-2025),0
Polestar 2 300kW Sedan (2022-2025),0
Porsche Taycan GTS Coupe (2022-2025),0
Tesla Model Y RWD (SY6LR) SUV Auto (2022-2025),0
Kia EV6 GT-Line RWD Wagon Other (2022-2025),0
Kia EV6 GT-Line AWD Wagon Other (2022-2025),0
Audi e-tron S e-tron S quattro SUV Auto (2022-2025),0
Audi e-tron S Sportback e-tron S quattro SUV Auto (2022-2025),0
BYD ATTO 3 EXTENDED Wagon (2022-2025),0
Kia EV6 Air RWD Wagon Other (2022-2025),0
Tesla Model Y LongRange (LY5LD) SUV (2022-2025),0
BYD ATTO 3 STANDARD Wagon (2022-2025),0
BMW iX xDrive50 Wagon Auto (2021-2025),0
BMW 4 Series i4 eDrive40 Sedan Auto (2021-2025),0
BMW 4 Series i4 M50 Sedan Auto (2021-2025),0
Tesla Model 3 LongRange (E5LDB) Sedan (2021-2025),0
Tesla Model 3 StandardRange (E6LRB) Sedan (2021-2025),0
Lexus UX 300e Hatch Auto (2021-2023),0
Hyundai Ioniq 5 EV SUV (2021-2025),0
Hyundai Ioniq 5 EV SUV (2021-2025),0
BMW iX iX xDrive40 Wagon Auto (2021-2025),0
Tesla Model Y (SY6LR) SUV Auto (2021-2025),0
Tesla Model Y LongRange (LY5LD) SUV Auto (2021-2025),0
Tesla Model Y Performance (PY5LD) SUV Auto (2021-2025),0
Audi e-tron S Sportback e-tron S quattro 20 Inch Wheel SUV Auto (2021-2025),0
BMW iX3 G08 Wagon Auto (2021-2025),0
Hyundai Kona EV 100kW SUV (2021-2023),0
Hyundai Kona EV 150kw SUV (2021-2023),0
Volvo XC40 Pure Electric Hatch (2021-2023),0
Mercedes-Benz EQC Class EQC400 4MATIC Wagon Auto (2021-2025),0
Mazda MX-30 Electric SUV Auto (2021-2025),0
BMW X3 iX3 Wagon Auto (2021-2025),0
Porsche Taycan Performance Battery Coupe (2021-2025),0
Audi e-tron 55 20" Wheel SUV (2021-2022),0
Audi e-tron 55 21 & 22" Wheel SUV (2021-2022),0
Audi e-tron Sportback 55 20" Wheel SUV (2021-2025),0
Audi e-tron Sportback 55 21 & 22" Wheel SUV (2021-2025),0
Kia Niro S Wagon Other (2021-2025),0
